dataset,accuracy,weighted_precision,weighted_recall,weighted_f1,audio_precision,audio_recall,audio_f1,audio_support,background_precision,background_recall,background_f1,background_support,bruteforce_precision,bruteforce_recall,bruteforce_f1,bruteforce_support,dos_precision,dos_recall,dos_f1,dos_support,information gathering_precision,information gathering_recall,information gathering_f1,information gathering_support,mirai_precision,mirai_recall,mirai_f1,mirai_support,text_precision,text_recall,text_f1,text_support,video_precision,video_recall,video_f1,video_support
stratified_sampling,0.9732107157137145,0.9783614919582002,0.9732107157137145,0.9740030826596762,0.8,0.5,0.6153846153846154,8.0,0.6363636363636364,1.0,0.7777777777777778,7.0,0.6428571428571429,0.9,0.75,10.0,0.9952312827849309,0.9775175644028103,0.9862948960302458,2135.0,0.9226006191950464,0.9933333333333333,0.956661316211878,300.0,0.5,0.8461538461538461,0.6285714285714286,26.0,1.0,0.25,0.4,8.0,1.0,0.7142857142857143,0.8333333333333334,7.0
kmeans,0.9776089564174331,0.9795324327062475,0.9776089564174331,0.9778151893183767,0.0,0.0,0.0,8.0,0.4666666666666667,1.0,0.6363636363636364,7.0,1.0,0.9,0.9473684210526315,10.0,0.9961995249406176,0.9822014051522249,0.9891509433962264,2135.0,0.945859872611465,0.99,0.9674267100977199,300.0,0.5,0.7692307692307693,0.6060606060606061,26.0,1.0,1.0,1.0,8.0,0.7,1.0,0.8235294117647058,7.0
hdbscan,0.9776089564174331,0.9795324327062475,0.9776089564174331,0.9778151893183767,0.0,0.0,0.0,8.0,0.4666666666666667,1.0,0.6363636363636364,7.0,1.0,0.9,0.9473684210526315,10.0,0.9961995249406176,0.9822014051522249,0.9891509433962264,2135.0,0.945859872611465,0.99,0.9674267100977199,300.0,0.5,0.7692307692307693,0.6060606060606061,26.0,1.0,1.0,1.0,8.0,0.7,1.0,0.8235294117647058,7.0
